threshold,accuracy,kusurlu_precision,kusurlu_recall,kusurlu_f1,true_negative,false_positive,false_negative,true_positive
0.05,0.13159420289855073,0.13159420289855073,1.0,0.23258196721311475,0,2996,0,454
0.1,0.13217391304347825,0.1316705336426914,1.0,0.2327011788826243,2,2994,0,454
0.15,0.15014492753623188,0.13386524822695037,0.9977973568281938,0.23606044815007818,65,2931,1,453
0.2,0.21420289855072464,0.14254038644282546,0.9911894273127754,0.24923843810578786,289,2707,4,450
0.25,0.28840579710144926,0.1544041450777202,0.9845814977973568,0.26694535682293224,548,2448,7,447
0.3,0.38115942028985506,0.1723196881091618,0.973568281938326,0.29281218946671084,873,2123,12,442
0.35,0.5159420289855072,0.20628019323671498,0.9405286343612335,0.33835182250396195,1353,1643,27,427
0.4,0.6655072463768116,0.26759628154050463,0.8876651982378855,0.41122448979591836,1893,1103,51,403
0.45,0.7802898550724637,0.35660377358490564,0.8325991189427313,0.49933949801849403,2314,682,76,378
0.5,0.8402898550724638,0.4367666232073012,0.737885462555066,0.5487305487305487,2564,432,119,335
0.55,0.8742028985507246,0.5176678445229682,0.6453744493392071,0.5745098039215686,2723,273,161,293
0.6,0.8985507246376812,0.6220657276995305,0.5837004405286343,0.6022727272727273,2835,161,189,265
0.65,0.9104347826086957,0.7177177177177178,0.526431718061674,0.6073697585768743,2902,94,215,239
0.7,0.912463768115942,0.7878787878787878,0.4581497797356828,0.5793871866295265,2940,56,246,208
0.75,0.9142028985507247,0.8761904761904762,0.4052863436123348,0.5542168674698795,2970,26,270,184
0.8,0.9110144927536232,0.9152542372881356,0.3568281938325991,0.5134706814580031,2981,15,292,162
0.85,0.9066666666666666,0.9583333333333334,0.3039647577092511,0.46153846153846156,2990,6,316,138
0.9,0.9008695652173913,0.9912280701754386,0.2488986784140969,0.397887323943662,2995,1,341,113
0.95,0.8913043478260869,1.0,0.17400881057268722,0.2964352720450281,2996,0,375,79
