threshold,accuracy,kusurlu_precision,kusurlu_recall,kusurlu_f1,true_negative,false_positive,false_negative,true_positive
0.05,0.13159420289855073,0.13159420289855073,1.0,0.23258196721311475,0,2996,0,454
0.1,0.13159420289855073,0.13159420289855073,1.0,0.23258196721311475,0,2996,0,454
0.15,0.13159420289855073,0.13159420289855073,1.0,0.23258196721311475,0,2996,0,454
0.2,0.2571014492753623,0.15048060987736162,1.0,0.2615960818208009,433,2563,0,454
0.25,0.2788405797101449,0.15431679129843645,1.0,0.2673733804475854,508,2488,0,454
0.3,0.27942028985507245,0.15418652144315861,0.9977973568281938,0.2670990566037736,511,2485,1,453
0.35,0.348695652173913,0.15795497901564287,0.9118942731277533,0.26926829268292685,789,2207,40,414
0.4,0.49391304347826087,0.1670103092783505,0.7136563876651982,0.2706766917293233,1380,1616,130,324
0.45,0.7921739130434783,0.25871559633027524,0.31057268722466963,0.2822822822822823,2592,404,313,141
0.5,0.8049275362318841,0.25934065934065936,0.2599118942731278,0.25962596259625964,2659,337,336,118
0.55,0.8243478260869566,0.2945945945945946,0.24008810572687225,0.2645631067961165,2735,261,345,109
0.6,0.8426086956521739,0.3381818181818182,0.20484581497797358,0.2551440329218107,2814,182,361,93
0.65,0.8666666666666667,0.4805194805194805,0.16299559471365638,0.24342105263157895,2916,80,380,74
0.7,0.884927536231884,0.8904109589041096,0.14317180616740088,0.24667931688804554,2988,8,389,65
0.75,0.8872463768115942,1.0,0.14317180616740088,0.2504816955684008,2996,0,389,65
0.8,0.8872463768115942,1.0,0.14317180616740088,0.2504816955684008,2996,0,389,65
0.85,0.8860869565217391,1.0,0.1343612334801762,0.23689320388349513,2996,0,393,61
0.9,0.8840579710144928,1.0,0.11894273127753303,0.2125984251968504,2996,0,400,54
0.95,0.8736231884057971,1.0,0.039647577092511016,0.07627118644067797,2996,0,436,18
