class,split,dosya_adi,hedef_adi,image_path,md5_hash
Class1,Train,0576.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0576.PNG,b8fdf55b9bc6c179ab8897075367a45c
Class1,Train,0577.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0577.PNG,78aa0438ee63465fc5e65ffed3c3a0e9
Class1,Train,0578.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0578.PNG,22843dfdc8b9517d382720e4efca456b
Class1,Train,0579.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0579.PNG,8e4ad2d058626e96bf83670df20bad83
Class1,Train,0580.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0580.PNG,631b2acd454eec34630f215e9eb4a9ad
Class1,Train,0581.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0581.PNG,df594342b4bca090251df1f93cbb38b9
Class1,Train,0582.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0582.PNG,415216277feaac52abfb7c433e053746
Class1,Train,0583.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0583.PNG,77d026567108aaffc4f1d7d7fd3ede12
Class1,Train,0584.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0584.PNG,6ca74dfcb9721815faf3aa7c3008c37d
Class1,Train,0585.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0585.PNG,93f1b9f717eb0757a7cc80fb11465c65
Class1,Train,0586.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0586.PNG,217eef04559cd0a2b38c45c40284d168
Class1,Train,0587.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0587.PNG,d2c15136cf3a7149c238a9a68c911643
Class1,Train,0588.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0588.PNG,e837dc46411cfaccaba1cddd47c40e4c
Class1,Train,0589.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0589.PNG,d380acd61ce947b84e6591863e54d218
Class1,Train,0590.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0590.PNG,336664fac742cb9bd024b1f5ee70db29
Class1,Train,0591.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0591.PNG,e266970dcdb2a1c107bc5c9e18143f9f
Class1,Train,0592.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0592.PNG,7e7bedf72e72a67e7be944f939a133a6
Class1,Train,0593.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0593.PNG,e37561c6dd15c44abb28054a82c4cebf
Class1,Train,0594.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0594.PNG,10b1fa27d6409c6c2156fb9dcf6db33f
Class1,Train,0595.PNG,kusurlu,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0595.PNG,5ffb1d206a474e90dda1abd8a54de170
Class1,Train,0596.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0596.PNG,7b57883e343f3f66653686fc9eaeb8ef
Class1,Train,0597.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0597.PNG,2f45c9a46ec4daf0ffb23713c958b127
Class1,Train,0598.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0598.PNG,7934e496dab06a885a61873eae60efb0
Class1,Train,0599.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0599.PNG,3b884f6ba7fc9a594583d18ec80add2a
Class1,Train,0600.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0600.PNG,efe07dd0005fcebb8bc94bcbdb0bfb55
Class1,Train,0601.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0601.PNG,98a420cf974e12f8da8e711f77a4ac0c
Class1,Train,0602.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0602.PNG,484dd07e083bcea225cdc01236e84ba0
Class1,Train,0603.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0603.PNG,cb45f72d3afcfaa65d1b09b23182fb4d
Class1,Train,0604.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0604.PNG,e773ea13f99de66a2c6acf2421e1c7be
Class1,Train,0605.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0605.PNG,7dae6cd357c69ef4fe657c09dfc2b41e
Class1,Train,0606.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0606.PNG,dc4c818018d9c1c084d0f31de756b3ec
Class1,Train,0607.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0607.PNG,9bcdfed27eb8ae40cbcc3b05463e0a11
Class1,Train,0608.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0608.PNG,de3cbb8ca1dec1721f6110903782c872
Class1,Train,0609.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0609.PNG,dbabffc813781f3962a6ff34dcab59ef
Class1,Train,0610.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0610.PNG,25beacf263074758983207d70c88f705
Class1,Train,0611.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0611.PNG,ec1d6f81bcdb5ba170951205f75b01d3
Class1,Train,0612.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0612.PNG,6c56dc606081530f6b1d9a22468c5e79
Class1,Train,0613.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0613.PNG,2a09694af7667dae94dfe98f6b96787b
Class1,Train,0614.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0614.PNG,23c15311018b5461def05dba4ed07bd3
Class1,Train,0615.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0615.PNG,cc8cb65e3663a8c4825a4e06a6973a9d
Class1,Train,0616.PNG,kusurlu,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0616.PNG,635462d7f6877c4afb9cb1359e0efdff
Class1,Train,0617.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0617.PNG,aca8f060c0075ba318602d4aaf42512b
Class1,Train,0618.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0618.PNG,6283436db208b1ef72cf81bdd9864841
Class1,Train,0619.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0619.PNG,85c162d5086a8756f3e3b4ab93084130
Class1,Train,0620.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0620.PNG,9ac24b25d748a8e897a54a6b5d82582c
Class1,Train,0621.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0621.PNG,94e18531ed41fb7080d23f00c226a203
Class1,Train,0622.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0622.PNG,b3a0b22824671912dcaa6c3c182d016c
Class1,Train,0623.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0623.PNG,aed6c267caf471b96ab3acd3083db282
Class1,Train,0624.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0624.PNG,cea07d5ee75781cdcbddfcaf6fcf1716
Class1,Train,0625.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0625.PNG,6666d88fa067df1f3ca8ddcbf3a0099c
Class1,Train,0626.PNG,kusurlu,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0626.PNG,0fbcad22128da27491cd21d3be9c5bb3
Class1,Train,0627.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0627.PNG,1e5e7bf2c15b8821fbc9828a4f5309b6
Class1,Train,0628.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0628.PNG,4af00e040f072bdf30ee760d1889b0ee
Class1,Train,0629.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0629.PNG,d1b8514487c3a61442311a73cca6e6e4
Class1,Train,0630.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0630.PNG,80aa56dbca341dd478201d5e5c4f6fc0
Class1,Train,0631.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0631.PNG,8e129648fc05481e38d00f1b6719789a
Class1,Train,0632.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0632.PNG,557c45e0d13b2b1367e14a7fab5e12c2
Class1,Train,0633.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0633.PNG,12119a9b7a0ccd0a6964ac868d411210
Class1,Train,0634.PNG,kusurlu,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0634.PNG,1f768ff65c9de58b41fdab983cb12788
Class1,Train,0635.PNG,kusurlu,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0635.PNG,a8d43d3aa77a805e2f4b3af7b0cf7310
Class1,Train,0636.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0636.PNG,d8b68a97bb592f05a073f38b789d31ec
Class1,Train,0637.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0637.PNG,37fcc8076b2875dc550bdba4adb8dfb6
