test_class,test_dosya,test_hedef,train_class,en_benzer_train_dosya,train_hedef,hamming_mesafesi
Class3,0001.PNG,kusursuz,Class3,0810.PNG,kusursuz,0
Class3,0002.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0003.PNG,kusursuz,Class3,0720.PNG,kusurlu,0
Class3,0004.PNG,kusursuz,Class3,1017.PNG,kusursuz,0
Class3,0005.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0006.PNG,kusursuz,Class3,0595.PNG,kusursuz,0
Class3,0008.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0009.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0010.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0011.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0012.PNG,kusursuz,Class3,0600.PNG,kusursuz,0
Class3,0013.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0014.PNG,kusursuz,Class3,0684.PNG,kusursuz,0
Class3,0016.PNG,kusursuz,Class3,0684.PNG,kusursuz,0
Class3,0017.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0018.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0019.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0021.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0022.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0023.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0024.PNG,kusursuz,Class3,0620.PNG,kusursuz,0
Class3,0025.PNG,kusursuz,Class3,0584.PNG,kusursuz,0
Class3,0026.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0027.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0028.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0029.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0030.PNG,kusursuz,Class3,0651.PNG,kusursuz,0
Class3,0031.PNG,kusursuz,Class3,0715.PNG,kusurlu,0
Class3,0032.PNG,kusursuz,Class3,0777.PNG,kusurlu,0
Class3,0033.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0034.PNG,kusurlu,Class3,0578.PNG,kusurlu,0
Class3,0035.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0036.PNG,kusursuz,Class3,0766.PNG,kusursuz,0
Class3,0037.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0038.PNG,kusursuz,Class3,0866.PNG,kusursuz,0
Class3,0039.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0041.PNG,kusursuz,Class3,0966.PNG,kusursuz,0
Class3,0042.PNG,kusursuz,Class3,0602.PNG,kusursuz,0
Class3,0043.PNG,kusursuz,Class3,0931.PNG,kusursuz,0
Class3,0044.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0045.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0046.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0047.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0049.PNG,kusursuz,Class3,0678.PNG,kusurlu,0
Class3,0050.PNG,kusursuz,Class3,1081.PNG,kusursuz,0
Class3,0051.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0052.PNG,kusursuz,Class3,0899.PNG,kusursuz,0
Class3,0053.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0054.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0055.PNG,kusursuz,Class3,0584.PNG,kusursuz,0
Class3,0056.PNG,kusursuz,Class3,1056.PNG,kusursuz,0
Class3,0057.PNG,kusursuz,Class3,0764.PNG,kusursuz,0
Class3,0058.PNG,kusursuz,Class3,0731.PNG,kusursuz,0
Class3,0059.PNG,kusursuz,Class3,0587.PNG,kusursuz,0
Class3,0060.PNG,kusurlu,Class3,0594.PNG,kusursuz,0
Class3,0061.PNG,kusursuz,Class3,0627.PNG,kusursuz,0
Class3,0062.PNG,kusursuz,Class3,0971.PNG,kusursuz,0
Class3,0063.PNG,kusursuz,Class3,0708.PNG,kusursuz,0
Class3,0065.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0066.PNG,kusursuz,Class3,0608.PNG,kusursuz,0
Class3,0068.PNG,kusurlu,Class3,0614.PNG,kusursuz,0
Class3,0070.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0071.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0072.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0073.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0074.PNG,kusursuz,Class3,0609.PNG,kusursuz,0
Class3,0075.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0076.PNG,kusursuz,Class3,0766.PNG,kusursuz,0
Class3,0079.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0080.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0082.PNG,kusursuz,Class3,0644.PNG,kusursuz,0
Class3,0083.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0084.PNG,kusursuz,Class3,0732.PNG,kusurlu,0
Class3,0085.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0086.PNG,kusursuz,Class3,0901.PNG,kusursuz,0
Class3,0087.PNG,kusursuz,Class3,0608.PNG,kusursuz,0
Class3,0088.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0089.PNG,kusursuz,Class3,0608.PNG,kusursuz,0
Class3,0090.PNG,kusursuz,Class3,0593.PNG,kusursuz,0
Class3,0091.PNG,kusursuz,Class3,0644.PNG,kusursuz,0
Class3,0092.PNG,kusursuz,Class3,0589.PNG,kusurlu,0
Class3,0093.PNG,kusursuz,Class3,0731.PNG,kusursuz,0
Class3,0095.PNG,kusursuz,Class3,0623.PNG,kusursuz,0
Class3,0096.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0097.PNG,kusurlu,Class3,0650.PNG,kusursuz,0
Class3,0098.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0099.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0101.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0102.PNG,kusurlu,Class3,0650.PNG,kusursuz,0
Class3,0103.PNG,kusursuz,Class3,0587.PNG,kusursuz,0
Class3,0104.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0106.PNG,kusursuz,Class3,0895.PNG,kusursuz,0
Class3,0107.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0108.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0109.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0110.PNG,kusursuz,Class3,0587.PNG,kusursuz,0
Class3,0112.PNG,kusursuz,Class3,0608.PNG,kusursuz,0
Class3,0113.PNG,kusurlu,Class3,0731.PNG,kusursuz,0
Class3,0114.PNG,kusurlu,Class3,0712.PNG,kusurlu,0
Class3,0116.PNG,kusurlu,Class3,0593.PNG,kusursuz,0
Class3,0118.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0119.PNG,kusurlu,Class3,0580.PNG,kusursuz,0
Class3,0122.PNG,kusursuz,Class3,0595.PNG,kusursuz,0
Class3,0123.PNG,kusursuz,Class3,0709.PNG,kusursuz,0
Class3,0124.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0125.PNG,kusursuz,Class3,0866.PNG,kusursuz,0
Class3,0126.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0127.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0129.PNG,kusurlu,Class3,0611.PNG,kusursuz,0
Class3,0130.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0131.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0132.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0133.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0134.PNG,kusurlu,Class3,0631.PNG,kusursuz,0
Class3,0136.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0137.PNG,kusurlu,Class3,0577.PNG,kusursuz,0
Class3,0138.PNG,kusurlu,Class3,0751.PNG,kusursuz,0
Class3,0139.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0140.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0141.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0142.PNG,kusursuz,Class3,0583.PNG,kusursuz,0
Class3,0143.PNG,kusursuz,Class3,0766.PNG,kusursuz,0
Class3,0144.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0145.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0146.PNG,kusursuz,Class3,0601.PNG,kusursuz,0
Class3,0147.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0148.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0149.PNG,kusursuz,Class3,0608.PNG,kusursuz,0
Class3,0150.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0151.PNG,kusurlu,Class3,0712.PNG,kusurlu,0
Class3,0152.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
Class3,0153.PNG,kusursuz,Class3,0632.PNG,kusursuz,0
Class3,0154.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0155.PNG,kusursuz,Class3,0644.PNG,kusursuz,0
Class3,0156.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0157.PNG,kusurlu,Class3,1017.PNG,kusursuz,0
Class3,0158.PNG,kusursuz,Class3,0583.PNG,kusursuz,0
Class3,0160.PNG,kusurlu,Class3,0584.PNG,kusursuz,0
Class3,0162.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0163.PNG,kusursuz,Class3,0776.PNG,kusursuz,0
Class3,0164.PNG,kusursuz,Class3,0584.PNG,kusursuz,0
Class3,0165.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0166.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0167.PNG,kusursuz,Class3,0766.PNG,kusursuz,0
Class3,0168.PNG,kusurlu,Class3,0611.PNG,kusursuz,0
Class3,0169.PNG,kusursuz,Class3,0587.PNG,kusursuz,0
Class3,0170.PNG,kusursuz,Class3,0615.PNG,kusursuz,0
Class3,0171.PNG,kusurlu,Class3,0594.PNG,kusursuz,0
Class3,0172.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0173.PNG,kusursuz,Class3,0587.PNG,kusursuz,0
Class3,0174.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0175.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0176.PNG,kusursuz,Class3,0583.PNG,kusursuz,0
Class3,0177.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0178.PNG,kusurlu,Class3,0650.PNG,kusursuz,0
Class3,0180.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0181.PNG,kusursuz,Class3,0731.PNG,kusursuz,0
Class3,0183.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0185.PNG,kusursuz,Class3,0810.PNG,kusursuz,0
Class3,0186.PNG,kusursuz,Class3,0588.PNG,kusursuz,0
Class3,0187.PNG,kusursuz,Class3,0804.PNG,kusursuz,0
Class3,0189.PNG,kusursuz,Class3,0583.PNG,kusursuz,0
Class3,0190.PNG,kusursuz,Class3,0881.PNG,kusurlu,0
Class3,0191.PNG,kusursuz,Class3,0628.PNG,kusursuz,0
Class3,0192.PNG,kusursuz,Class3,1056.PNG,kusursuz,0
Class3,0193.PNG,kusursuz,Class3,0577.PNG,kusursuz,0
Class3,0194.PNG,kusursuz,Class3,0613.PNG,kusursuz,0
Class3,0195.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0196.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0197.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0198.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0199.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0200.PNG,kusursuz,Class3,0594.PNG,kusursuz,0
Class3,0201.PNG,kusursuz,Class3,0715.PNG,kusurlu,0
Class3,0203.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0204.PNG,kusurlu,Class3,0594.PNG,kusursuz,0
Class3,0205.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0206.PNG,kusursuz,Class3,0766.PNG,kusursuz,0
Class3,0207.PNG,kusursuz,Class3,0604.PNG,kusursuz,0
Class3,0208.PNG,kusursuz,Class3,0623.PNG,kusursuz,0
Class3,0209.PNG,kusursuz,Class3,0602.PNG,kusursuz,0
Class3,0210.PNG,kusursuz,Class3,0578.PNG,kusurlu,0
Class3,0211.PNG,kusursuz,Class3,0611.PNG,kusursuz,0
Class3,0213.PNG,kusursuz,Class3,0692.PNG,kusursuz,0
Class3,0215.PNG,kusursuz,Class3,0615.PNG,kusursuz,0
Class3,0216.PNG,kusursuz,Class3,0737.PNG,kusursuz,0
Class3,0218.PNG,kusursuz,Class3,0650.PNG,kusursuz,0
Class3,0219.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0220.PNG,kusursuz,Class3,0581.PNG,kusursuz,0
Class3,0221.PNG,kusursuz,Class3,0595.PNG,kusursuz,0
Class3,0222.PNG,kusursuz,Class3,0580.PNG,kusursuz,0
Class3,0223.PNG,kusursuz,Class3,0584.PNG,kusursuz,0
Class3,0224.PNG,kusursuz,Class3,0614.PNG,kusursuz,0
