class,split,gorsel_sayisi,label_klasoru_var_mi,label_dosya_sayisi
Class1,Train,575,True,79
Class1,Test,575,True,71
Class10,Train,1150,True,150
Class10,Test,1150,True,150
Class2,Train,575,True,66
Class2,Test,575,True,84
Class3,Train,575,True,66
Class3,Test,575,True,84
Class4,Train,575,True,82
Class4,Test,575,True,68
Class5,Train,575,True,70
Class5,Test,575,True,80
Class6,Train,575,True,83
Class6,Test,575,True,67
Class7,Train,1150,True,150
Class7,Test,1150,True,150
Class8,Train,1150,True,150
Class8,Test,1150,True,150
Class9,Train,1150,True,150
Class9,Test,1150,True,150
