class,split,dosya_adi,hedef_adi,image_path,avg_hash,phash
Class1,Train,0576.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0576.PNG,01078f07018b5757,aa57802b47a8bb5b
Class1,Train,0577.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0577.PNG,00000005070f0f0f,aa55ab55aa46abc1
Class1,Train,0578.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0578.PNG,e7c381000080c3c3,ffa6e10604de17a8
Class1,Train,0579.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0579.PNG,1303cfcf031333b7,ae51ae05bad58669
Class1,Train,0580.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0580.PNG,ce83030103c6ed7b,bb36c2d6a950b58a
Class1,Train,0581.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0581.PNG,c7c3a11818c3c3e7,b34db2bd022a8bab
Class1,Train,0582.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0582.PNG,cc8633238ccd73b7,a851ba58b749ab4d
Class1,Train,0583.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0583.PNG,c1c0c8e173f3c0c8,fa7a7aa1a0faa0e0
Class1,Train,0584.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0584.PNG,ebc3a2008900e3c3,e9e1e119980705ff
Class1,Train,0585.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0585.PNG,80c1e3e3e3e3e3c1,ef1e1f9018f71605
Class1,Train,0586.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0586.PNG,f2f6e0c280008000,f6e7c6083f78e048
Class1,Train,0587.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0587.PNG,92c1c1c029c0c1e1,fa06ff04077c8783
Class1,Train,0588.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0588.PNG,80c3c3c1c1c3c3c3,ff16661e1f0017e8
Class1,Train,0589.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0589.PNG,43c9c3c3c1c3c1c9,eb1591677f21215a
Class1,Train,0590.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0590.PNG,c3818124048183c3,bf42bf3ad0a2ccc0
Class1,Train,0591.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0591.PNG,89c3c39999c3c381,b89bf61a1e511751
Class1,Train,0592.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0592.PNG,9563c1802280e3c3,ea9ae81a5e3a5ea0
Class1,Train,0593.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0593.PNG,03008787000387cf,ae47a94a55aa55aa
Class1,Train,0594.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0594.PNG,b703040003b7ccc9,aa46b9b5a950c57a
Class1,Train,0595.PNG,kusurlu,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0595.PNG,890000008956afaf,ab40af18bbaa74a9
Class1,Train,0596.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0596.PNG,3941c383c74539ff,aa23ca0bd44db4bd
Class1,Train,0597.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0597.PNG,81c1e3c998c1e3c1,fa7ffe191a210185
Class1,Train,0598.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0598.PNG,11182dc7ef381183,ae542e4cb334ab2b
Class1,Train,0599.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0599.PNG,c3c980c122c180c9,fae8faa4a0a6e415
Class1,Train,0600.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0600.PNG,c0b3e1c1c0c0e1e1,fbfced10f8fa0002
Class1,Train,0601.PNG,kusursuz,/content/drive/MyDrive/DERİNMODEL/01_veri_seti/ham_veri/dagm_2007/DAGM_KaggleUpload/Class1/Train/0601.PNG,c19834c3e3c31c99,fefa5be0ea00a807
